Survived	Pclass	Sex	Age	Siblings/Spouses Aboard	Parents/Children Aboard	Fare	rand-feature
0	1	1	29	0	0	30	2.967061284
1	3	0	4	1	1	16.7	0.478094332
0	3	0	18	2	0	18	1.080302102
0	1	1	19	1	0	53.1	2.995906268
1	2	0	24	1	0	26	1.109667555
1	3	0	5	0	0	12.475	1.355324595
0	3	1	51	0	0	8.05	1.001276691
1	3	0	33	3	0	15.85	1.229112119
0	3	1	29	0	0	7.875	0.990238902
1	2	0	42	0	0	13	0.210502089
0	3	1	26	0	0	7.8875	1.917066303
0	2	1	21	0	0	0	2.037492186
1	3	0	24	0	2	22.3583	0.051833746
0	1	1	64	0	0	26	0.010277121
1	1	0	35	1	0	90	0.060521104
0	3	1	34.5	0	0	6.4375	0.421520791
0	3	1	16	2	0	21.6792	2.325237207
0	3	0	25	1	0	7.925	0.876029653
0	2	1	36.5	0	2	26	2.633059151
0	1	1	49	0	0	221.7792	0.381359598
1	1	1	35	0	0	512.3292	0.15631135
1	3	1	20	0	0	7.2292	0.701318253
0	2	1	50	0	0	13	1.226058371
0	2	1	25	1	2	41.5792	2.652381683
0	3	1	21	0	0	7.925	1.804018564
0	2	1	39	0	0	13	0.459382401
0	1	1	38	0	1	153.4625	1.306660336
1	1	1	42	1	0	52.5542	0.878820954
1	1	1	49	1	0	89.1042	1.054211589
0	2	1	23	2	1	11.5	2.971148724
1	2	0	28	1	0	24	0.616719144
0	1	1	64	1	4	263	2.245283695
1	1	0	48	1	0	52	2.672212199
0	3	1	61	0	0	6.2375	1.754285159
0	3	1	45	0	0	6.975	0.471329615
1	3	1	9	0	2	20.525	2.008081611
0	1	1	47	0	0	38.5	2.887504773
1	2	1	0.83	0	2	29	1.798240716
0	3	0	45	1	4	27.9	1.452971834
0	1	1	39	0	0	50	1.813565095
0	2	1	54	0	0	14	0.961308081
0	3	0	25	0	0	7.775	1.602744984
1	3	0	31	1	1	20.525	0.407853525
0	3	1	24	1	0	16.1	2.805346412
0	3	1	19	0	0	7.7292	2.841184086
1	1	0	48	1	0	146.5208	0.800228858
0	1	1	45.5	0	0	28.5	1.424488613
0	3	1	36	1	0	15.55	1.132724867
0	1	1	61	0	0	32.3208	0.770277133
1	3	0	28	1	0	24.15	2.187762099
1	3	0	21	0	0	7.65	0.281861788
1	2	0	24	0	2	14.5	1.692740202
